,location,size,total_sqft,bath,price,bhk,price_per_sqft
0,Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2,3699
1,Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4,4615
2,Uttarahalli,3 BHK,1440.0,2.0,62.0,3,4305
3,Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3,6245
4,Kothanur,2 BHK,1200.0,2.0,51.0,2,4250
5,Whitefield,2 BHK,1170.0,2.0,38.0,2,3247
6,Old Airport Road,4 BHK,2732.0,4.0,204.0,4,7467
7,Rajaji Nagar,4 BHK,3300.0,4.0,600.0,4,18181
8,Marathahalli,3 BHK,1310.0,3.0,63.25,3,4828
9,other,6 Bedroom,1020.0,6.0,370.0,6,36274
10,Whitefield,3 BHK,1800.0,2.0,70.0,3,3888
11,Whitefield,4 Bedroom,2785.0,5.0,295.0,4,10592
12,7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2,3800
13,Gottigere,2 BHK,1100.0,2.0,40.0,2,3636
14,Sarjapur,3 Bedroom,2250.0,3.0,148.0,3,6577
15,Mysore Road,2 BHK,1175.0,2.0,73.5,2,6255
16,Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3,4067
17,Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3,3896
18,other,3 BHK,2770.0,4.0,290.0,3,10469
19,other,2 BHK,1100.0,2.0,48.0,2,4363
20,Kengeri,1 BHK,600.0,1.0,15.0,1,2500
21,Binny Pete,3 BHK,1755.0,3.0,122.0,3,6951
22,Thanisandra,4 Bedroom,2800.0,5.0,380.0,4,13571
23,Bellandur,3 BHK,1767.0,3.0,103.0,3,5829
24,Thanisandra,1 RK,510.0,1.0,25.25,1,4950
25,other,3 BHK,1250.0,3.0,56.0,3,4480
26,Electronic City,2 BHK,660.0,1.0,23.1,2,3500
27,Whitefield,3 BHK,1610.0,3.0,81.0,3,5031
28,Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2,4237
29,Electronic City,3 BHK,1025.0,2.0,47.0,3,4585
30,Yelahanka,4 BHK,2475.0,4.0,186.0,4,7515
31,Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3,3255
32,Hebbal,3 BHK,1760.0,2.0,123.0,3,6988
33,Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3,3389
34,Kasturi Nagar,3 BHK,1925.0,3.0,125.0,3,6493
35,Kanakpura Road,2 BHK,700.0,2.0,36.0,2,5142
36,Electronics City Phase 1,2 BHK,1070.0,2.0,45.5,2,4252
37,Kundalahalli,3 BHK,1724.0,3.0,125.0,3,7250
38,Chikkalasandra,3 BHK,1290.0,2.0,56.12,3,4350
39,Uttarahalli,2 BHK,1143.0,2.0,45.0,2,3937
40,Murugeshpalya,2 BHK,1296.0,2.0,81.0,2,6250
41,Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3,3030
42,other,1 BHK,600.0,1.0,38.0,1,6333
43,Yelahanka,1 Bedroom,660.0,1.0,48.0,1,7272
44,Kanakpura Road,2 BHK,1330.74,2.0,91.79,2,6897
45,HSR Layout,8 Bedroom,600.0,9.0,200.0,8,33333
46,Doddathoguru,2 BHK,970.0,2.0,33.0,2,3402
47,Whitefield,2 BHK,1459.0,2.0,94.82,2,6498
48,KR Puram,2 Bedroom,800.0,1.0,130.0,2,16250
49,other,2 BHK,869.0,2.0,36.0,2,4142
50,other,2 BHK,1270.0,2.0,50.0,2,3937
51,Bhoganhalli,3 BHK,1670.0,3.0,99.0,3,5928
52,Whitefield,3 BHK,2010.0,3.0,91.0,3,4527
53,Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2,6329
54,Yelahanka,3 BHK,1600.0,2.0,75.0,3,4687
